loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_PCC_V,eval_PCC_A,eval_RMSE_VA,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
7.0548,7.452722549438477,1.153846153846154e-06,0.03233629749393695,10,,,,,,,,,,,,
6.9526,6.50537109375,2.435897435897436e-06,0.0646725949878739,20,,,,,,,,,,,,
6.8072,6.036265850067139,3.7179487179487184e-06,0.09700889248181083,30,,,,,,,,,,,,
6.584,4.95717716217041,5e-06,0.1293451899757478,40,,,,,,,,,,,,
6.2877,3.8319902420043945,6.282051282051282e-06,0.16168148746968472,50,,,,,,,,,,,,
,,,0.16168148746968472,50,6.135409832000732,0.07058824598789215,0.0,0.18086419999599457,31.2131,178.291,4.966,,,,,
6.0867,3.813760757446289,7.564102564102564e-06,0.19401778496362165,60,,,,,,,,,,,,
5.9826,2.7575175762176514,8.846153846153847e-06,0.22635408245755861,70,,,,,,,,,,,,
5.9124,2.936058759689331,9.993206521739132e-06,0.2586903799514956,80,,,,,,,,,,,,
5.7516,3.320084810256958,9.925271739130435e-06,0.2910266774454325,90,,,,,,,,,,,,
5.7586,3.196526288986206,9.85733695652174e-06,0.32336297493936944,100,,,,,,,,,,,,
,,,0.32336297493936944,100,5.607895851135254,0.15324486792087555,-0.06423619389533997,0.17647342383861542,30.9687,179.698,5.005,,,,,
5.6291,3.153054714202881,9.789402173913044e-06,0.3556992724333064,110,,,,,,,,,,,,
5.5043,2.741021156311035,9.721467391304349e-06,0.3880355699272433,120,,,,,,,,,,,,
5.4279,3.1129472255706787,9.653532608695653e-06,0.42037186742118027,130,,,,,,,,,,,,
5.3546,3.359772205352783,9.585597826086958e-06,0.45270816491511723,140,,,,,,,,,,,,
5.267,3.1150503158569336,9.517663043478261e-06,0.4850444624090542,150,,,,,,,,,,,,
,,,0.4850444624090542,150,5.188847064971924,0.24789029359817505,0.3823252320289612,0.1620105654001236,30.5543,182.135,5.073,,,,,
